url,ad_id,Type,Title,location,Price,Land_Size,Buildup(Sqr.Ft.),Floor,Living_Room,Bedroom,Bathroom,Kitchen,Furnishing,Road_Type,Road_Size
https://hamrobazaar.com/for-sale-house/Brand-New-House-On-Sale-at-Tokha-Dhaneshwor-in-Nepal/5A7384A6-5852-B529-FA0F-BD78EAD5295B,HB-5A7384,House - Individual,"Brand New House On Sale at Tokha, Dhaneshwor","टोखा चण्डेश्वरि, Tokha-02, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 40607, नेपाल","रू. 1,60,00,000",4,1200,1,1,2,1,1,,Pitched,1
https://hamrobazaar.com/for-sale-house/House-For-Sale-at-Samakhusi-Near-Chowk-in-Nepal/B2792969-B466-7A7C-A6A4-C326584BB262,HB-B27929,House - Individual,"House For Sale at Samakhusi, Near Chowk","Tilintar, बसुन्धरा चौकी, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 21775, नेपाल","रू. 2,80,00,000",4,1500,1,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-On-Sale-at-Basundhara-Dhapasi-in-Nepal/2D9C5F19-5205-4776-60FC-04604E469689,HB-2D9C5F,House - Individual,"House On Sale at Basundhara, Dhapasi","212 Dhapasi Marg, नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 3,30,00,000",5,1500,2,2,6,2,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-On-Sale-at-Basundhara-Dhapasi-in-Nepal/5A8BBAB0-CD89-4445-BE44-D1B7488F7338,HB-5A8BBA,House - Individual,"House On Sale at Basundhara, Dhapasi","नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 2,00,00,000",3,800,2,2,9,2,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/Beautiful-House-For-Sale-at-Tokha-in-Nepal/A22F20AC-D38F-406B-4F6C-ACEE79A5A656,HB-A22F20,House - Individual,Beautiful House For Sale at Tokha,"NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 2,35,00,000",3,1200,3,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-for-sale-At-Bistachap-in-Nepal/10B9ADB0-B00E-D242-9F99-D6386967ACE9,,,,,,,,,,,,,,,
https://hamrobazaar.com/for-sale-house/House-on-Sale-Imadol-sethi-Pakha-in-Lalitpur/06005955-E397-F74D-70DF-5EA1424FC88C,HB-060059,HouseIndividual,House on Sale -Imadol sethi Pakha,"Imadol (Mahalaxmi), Lalitpur","रू. 3,50,00,000",3.5 Anna,00,3.5,2,7,4,2,,Gravel,2
https://hamrobazaar.com/for-sale-house/Commercial-Building-For-Sale-at-Samakhusi-in-Nepal/AE6A9E1B-48DE-6AD1-17E1-7E8DB45DDCAD,HB-AE6A9E,,Commercial Building For Sale at Samakhusi,"Tilintar, बसुन्धरा चौकी, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 21775, नेपाल","रू. 16,00,00,000",,,,,,,,,,
https://hamrobazaar.com/for-sale-house/Brand-New-House-On-Sale-at-Tokha-Dhaneshwor-in-Nepal/5A7384A6-5852-B529-FA0F-BD78EAD5295B,HB-5A7384,House - Individual,"Brand New House On Sale at Tokha, Dhaneshwor","टोखा चण्डेश्वरि, Tokha-02, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 40607, नेपाल","रू. 1,60,00,000",4,1200,1,1,2,1,1,,Pitched,1
https://hamrobazaar.com/for-sale-house/House-For-Sale-at-Samakhusi-Near-Chowk-in-Nepal/B2792969-B466-7A7C-A6A4-C326584BB262,HB-B27929,House - Individual,"House For Sale at Samakhusi, Near Chowk","Tilintar, बसुन्धरा चौकी, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 21775, नेपाल","रू. 2,80,00,000",4,1500,1,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-On-Sale-at-Basundhara-Dhapasi-in-Nepal/2D9C5F19-5205-4776-60FC-04604E469689,HB-2D9C5F,House - Individual,"House On Sale at Basundhara, Dhapasi","212 Dhapasi Marg, नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 3,30,00,000",5,1500,2,2,6,2,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-On-Sale-at-Basundhara-Dhapasi-in-Nepal/5A8BBAB0-CD89-4445-BE44-D1B7488F7338,HB-5A8BBA,House - Individual,"House On Sale at Basundhara, Dhapasi","नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 2,00,00,000",3,800,2,2,9,2,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/Beautiful-House-For-Sale-at-Tokha-in-Nepal/A22F20AC-D38F-406B-4F6C-ACEE79A5A656,HB-A22F20,House - Individual,Beautiful House For Sale at Tokha,"NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 2,35,00,000",3,1200,3,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-for-sale-At-Bistachap-in-Nepal/10B9ADB0-B00E-D242-9F99-D6386967ACE9,,,,,,,,,,,,,,,
https://hamrobazaar.com/for-sale-house/Bunglow-House-For-Sale-at-Basundhara-in-Nepal/0E627C51-161D-EF1F-B4C9-2FB8AA9A55E7,HB-0E627C,Bunglow,Bunglow House For Sale at Basundhara,"नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 5,00,00,000",9,2000,3,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-For-Sale-at-Tokha-Megacity-Height-in-Nepal/215243F6-39C9-B2D3-D1EC-7C04261F8B83,HB-215243,House - Individual,"House For Sale at Tokha, Megacity Height","NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 1,90,00,000",3,1200,3,2,5,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/Commercial-Building-For-Sale-at-Samakhusi-in-Nepal/AE6A9E1B-48DE-6AD1-17E1-7E8DB45DDCAD,HB-AE6A9E,,Commercial Building For Sale at Samakhusi,"Tilintar, बसुन्धरा चौकी, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 21775, नेपाल","रू. 16,00,00,000",,,,,,,,,,
https://hamrobazaar.com/for-sale-house/Brand-New-House-On-Sale-at-Tokha-Dhaneshwor-in-Nepal/5A7384A6-5852-B529-FA0F-BD78EAD5295B,HB-5A7384,House - Individual,"Brand New House On Sale at Tokha, Dhaneshwor","टोखा चण्डेश्वरि, Tokha-02, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 40607, नेपाल","रू. 1,60,00,000",4,1200,1,1,2,1,1,,Pitched,1
https://hamrobazaar.com/for-sale-house/House-For-Sale-at-Samakhusi-Near-Chowk-in-Nepal/B2792969-B466-7A7C-A6A4-C326584BB262,HB-B27929,House - Individual,"House For Sale at Samakhusi, Near Chowk","Tilintar, बसुन्धरा चौकी, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 21775, नेपाल","रू. 2,80,00,000",4,1500,1,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-On-Sale-at-Basundhara-Dhapasi-in-Nepal/2D9C5F19-5205-4776-60FC-04604E469689,HB-2D9C5F,House - Individual,"House On Sale at Basundhara, Dhapasi","212 Dhapasi Marg, नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 3,30,00,000",5,1500,2,2,6,2,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-On-Sale-at-Basundhara-Dhapasi-in-Nepal/5A8BBAB0-CD89-4445-BE44-D1B7488F7338,HB-5A8BBA,House - Individual,"House On Sale at Basundhara, Dhapasi","नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 2,00,00,000",3,800,2,2,9,2,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/Beautiful-House-For-Sale-at-Tokha-in-Nepal/A22F20AC-D38F-406B-4F6C-ACEE79A5A656,HB-A22F20,House - Individual,Beautiful House For Sale at Tokha,"NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 2,35,00,000",3,1200,3,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-for-sale-At-Bistachap-in-Nepal/10B9ADB0-B00E-D242-9F99-D6386967ACE9,,,,,,,,,,,,,,,
https://hamrobazaar.com/for-sale-house/Bunglow-House-For-Sale-at-Basundhara-in-Nepal/0E627C51-161D-EF1F-B4C9-2FB8AA9A55E7,HB-0E627C,Bunglow,Bunglow House For Sale at Basundhara,"नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 5,00,00,000",9,2000,3,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-For-Sale-at-Tokha-Megacity-Height-in-Nepal/215243F6-39C9-B2D3-D1EC-7C04261F8B83,HB-215243,House - Individual,"House For Sale at Tokha, Megacity Height","NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 1,90,00,000",3,1200,3,2,5,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-For-Sale-at-Tokha-Sudarshan-Height-in-Nepal/1E45601E-2A07-659E-7425-69A2C5320EB2,HB-1E4560,House - Individual,"House For Sale at Tokha, Sudarshan Height","NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 2,00,00,000",3,1200,3,2,6,3,3,,Pitched,3
https://hamrobazaar.com/for-sale-house/Brand-New-House-On-Sale-at-Tokha-Dhaneshwor-in-Nepal/5A7384A6-5852-B529-FA0F-BD78EAD5295B,HB-5A7384,House - Individual,"Brand New House On Sale at Tokha, Dhaneshwor","टोखा चण्डेश्वरि, Tokha-02, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 40607, नेपाल","रू. 1,60,00,000",4,1200,1,1,2,1,1,,Pitched,1
https://hamrobazaar.com/for-sale-house/House-For-Sale-at-Samakhusi-Near-Chowk-in-Nepal/B2792969-B466-7A7C-A6A4-C326584BB262,HB-B27929,House - Individual,"House For Sale at Samakhusi, Near Chowk","Tilintar, बसुन्धरा चौकी, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 21775, नेपाल","रू. 2,80,00,000",4,1500,1,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-On-Sale-at-Basundhara-Dhapasi-in-Nepal/2D9C5F19-5205-4776-60FC-04604E469689,HB-2D9C5F,House - Individual,"House On Sale at Basundhara, Dhapasi","212 Dhapasi Marg, नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 3,30,00,000",5,1500,2,2,6,2,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-On-Sale-at-Basundhara-Dhapasi-in-Nepal/5A8BBAB0-CD89-4445-BE44-D1B7488F7338,HB-5A8BBA,House - Individual,"House On Sale at Basundhara, Dhapasi","नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 2,00,00,000",3,800,2,2,9,2,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/Beautiful-House-For-Sale-at-Tokha-in-Nepal/A22F20AC-D38F-406B-4F6C-ACEE79A5A656,HB-A22F20,House - Individual,Beautiful House For Sale at Tokha,"NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 2,35,00,000",3,1200,3,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-for-sale-At-Bistachap-in-Nepal/10B9ADB0-B00E-D242-9F99-D6386967ACE9,,,,,,,,,,,,,,,
https://hamrobazaar.com/for-sale-house/Bunglow-House-For-Sale-at-Basundhara-in-Nepal/0E627C51-161D-EF1F-B4C9-2FB8AA9A55E7,HB-0E627C,Bunglow,Bunglow House For Sale at Basundhara,"नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 5,00,00,000",9,2000,3,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-For-Sale-at-Tokha-Megacity-Height-in-Nepal/215243F6-39C9-B2D3-D1EC-7C04261F8B83,HB-215243,House - Individual,"House For Sale at Tokha, Megacity Height","NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 1,90,00,000",3,1200,3,2,5,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-For-Sale-at-Tokha-Sudarshan-Height-in-Nepal/1E45601E-2A07-659E-7425-69A2C5320EB2,HB-1E4560,House - Individual,"House For Sale at Tokha, Sudarshan Height","NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 2,00,00,000",3,1200,3,2,6,3,3,,Pitched,3
https://hamrobazaar.com/for-sale-house/-House-with-Free-Nexon-EV-Max-in-Chandragiri!-in-Kathmandu/DF7B20F9-C8E2-A5DB-0490-752811C14FDD,HB-DF7B20,HouseIndividual,House with Free Nexon EV Max in Chandragiri!,"chandagiri, Chandragiri, Kathmandu","रू. 3,00,00,000",4,2500,2.5,1,3,3,1,,Pitched,1
https://hamrobazaar.com/for-sale-house/House-For-Sale-at-Samakhusi-Near-Chowk-in-Nepal/B2792969-B466-7A7C-A6A4-C326584BB262,HB-B27929,House - Individual,"House For Sale at Samakhusi, Near Chowk","Tilintar, बसुन्धरा चौकी, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 21775, नेपाल","रू. 2,80,00,000",4,1500,1,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-On-Sale-at-Basundhara-Dhapasi-in-Nepal/2D9C5F19-5205-4776-60FC-04604E469689,HB-2D9C5F,House - Individual,"House On Sale at Basundhara, Dhapasi","212 Dhapasi Marg, नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 3,30,00,000",5,1500,2,2,6,2,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-On-Sale-at-Basundhara-Dhapasi-in-Nepal/5A8BBAB0-CD89-4445-BE44-D1B7488F7338,HB-5A8BBA,House - Individual,"House On Sale at Basundhara, Dhapasi","नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 2,00,00,000",3,800,2,2,9,2,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/Beautiful-House-For-Sale-at-Tokha-in-Nepal/A22F20AC-D38F-406B-4F6C-ACEE79A5A656,HB-A22F20,House - Individual,Beautiful House For Sale at Tokha,"NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 2,35,00,000",3,1200,3,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-for-sale-At-Bistachap-in-Nepal/10B9ADB0-B00E-D242-9F99-D6386967ACE9,,,,,,,,,,,,,,,
https://hamrobazaar.com/for-sale-house/Bunglow-House-For-Sale-at-Basundhara-in-Nepal/0E627C51-161D-EF1F-B4C9-2FB8AA9A55E7,HB-0E627C,Bunglow,Bunglow House For Sale at Basundhara,"नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 5,00,00,000",9,2000,3,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-For-Sale-at-Tokha-Megacity-Height-in-Nepal/215243F6-39C9-B2D3-D1EC-7C04261F8B83,HB-215243,House - Individual,"House For Sale at Tokha, Megacity Height","NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 1,90,00,000",3,1200,3,2,5,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-For-Sale-at-Tokha-Sudarshan-Height-in-Nepal/1E45601E-2A07-659E-7425-69A2C5320EB2,HB-1E4560,House - Individual,"House For Sale at Tokha, Sudarshan Height","NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 2,00,00,000",3,1200,3,2,6,3,3,,Pitched,3
https://hamrobazaar.com/for-sale-house/-House-with-Free-Nexon-EV-Max-in-Chandragiri!-in-Kathmandu/DF7B20F9-C8E2-A5DB-0490-752811C14FDD,HB-DF7B20,HouseIndividual,House with Free Nexon EV Max in Chandragiri!,"chandagiri, Chandragiri, Kathmandu","रू. 3,00,00,000",4,2500,2.5,1,3,3,1,,Pitched,1
https://hamrobazaar.com/for-sale-house/FOR-SALE-HOUSE-4-AANA-3-PAISA-AT-NAKHIPOT-in-Lalitpur/51555C2A-D1C9-AE24-540E-B375E4334030,HB-51555C,HouseIndividual,FOR SALE HOUSE 4 AANA 3 PAISA AT NAKHIPOT,"Nakhipot, Lalitpur","रू. 4,99,00,000",4 AANA 3 PAISA,4 AANA 3 PAISA,2.5,2,4,5,1,,Pitched,1
https://hamrobazaar.com/for-sale-house/House-On-Sale-at-Basundhara-Dhapasi-in-Nepal/2D9C5F19-5205-4776-60FC-04604E469689,HB-2D9C5F,House - Individual,"House On Sale at Basundhara, Dhapasi","212 Dhapasi Marg, नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 3,30,00,000",5,1500,2,2,6,2,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-On-Sale-at-Basundhara-Dhapasi-in-Nepal/5A8BBAB0-CD89-4445-BE44-D1B7488F7338,HB-5A8BBA,House - Individual,"House On Sale at Basundhara, Dhapasi","नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 2,00,00,000",3,800,2,2,9,2,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/Beautiful-House-For-Sale-at-Tokha-in-Nepal/A22F20AC-D38F-406B-4F6C-ACEE79A5A656,HB-A22F20,House - Individual,Beautiful House For Sale at Tokha,"NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल","रू. 2,35,00,000",3,1200,3,2,6,3,2,,Pitched,2
https://hamrobazaar.com/for-sale-house/House-for-sale-At-Bistachap-in-Nepal/10B9ADB0-B00E-D242-9F99-D6386967ACE9,,,,,,,,,,,,,,,
https://hamrobazaar.com/for-sale-house/Bunglow-House-For-Sale-at-Basundhara-in-Nepal/0E627C51-161D-EF1F-B4C9-2FB8AA9A55E7,HB-0E627C,Bunglow,Bunglow House For Sale at Basundhara,"नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल","रू. 5,00,00,000",9,2000,3,2,6,3,2,,Pitched,2
